model,model_backend,train_len_bucket,eval_len_bucket,split,noise_type,language,n_examples,accuracy,runtime_sec_total_batch
char_svm,sklearn,3,3,test,clean,de,200,0.96,0.01507706699976552
char_svm,sklearn,3,3,test,clean,en,200,0.88,0.01507706699976552
char_svm,sklearn,3,3,test,clean,es,200,0.95,0.01507706699976552
char_svm,sklearn,3,3,test,clean,fr,200,0.905,0.01507706699976552
char_svm,sklearn,3,3,test,clean,ro,200,0.94,0.01507706699976552
char_svm,sklearn,3,3,test,no_diacritics,de,200,0.96,0.01388002499970753
char_svm,sklearn,3,3,test,no_diacritics,en,200,0.87,0.01388002499970753
char_svm,sklearn,3,3,test,no_diacritics,es,200,0.91,0.01388002499970753
char_svm,sklearn,3,3,test,no_diacritics,fr,200,0.865,0.01388002499970753
char_svm,sklearn,3,3,test,no_diacritics,ro,200,0.89,0.01388002499970753
char_svm,sklearn,3,3,test,typo,de,200,0.935,0.014577840000129072
char_svm,sklearn,3,3,test,typo,en,200,0.88,0.014577840000129072
char_svm,sklearn,3,3,test,typo,es,200,0.915,0.014577840000129072
char_svm,sklearn,3,3,test,typo,fr,200,0.885,0.014577840000129072
char_svm,sklearn,3,3,test,typo,ro,200,0.925,0.014577840000129072
char_svm,sklearn,5,5,test,clean,de,200,0.99,0.02683665499989729
char_svm,sklearn,5,5,test,clean,en,200,0.985,0.02683665499989729
char_svm,sklearn,5,5,test,clean,es,200,0.97,0.02683665499989729
char_svm,sklearn,5,5,test,clean,fr,200,0.985,0.02683665499989729
char_svm,sklearn,5,5,test,clean,ro,200,0.98,0.02683665499989729
char_svm,sklearn,5,5,test,no_diacritics,de,200,0.99,0.026705860000220127
char_svm,sklearn,5,5,test,no_diacritics,en,200,0.98,0.026705860000220127
char_svm,sklearn,5,5,test,no_diacritics,es,200,0.965,0.026705860000220127
char_svm,sklearn,5,5,test,no_diacritics,fr,200,0.97,0.026705860000220127
char_svm,sklearn,5,5,test,no_diacritics,ro,200,0.96,0.026705860000220127
char_svm,sklearn,5,5,test,typo,de,200,0.98,0.03294693499992718
char_svm,sklearn,5,5,test,typo,en,200,0.965,0.03294693499992718
char_svm,sklearn,5,5,test,typo,es,200,0.97,0.03294693499992718
char_svm,sklearn,5,5,test,typo,fr,200,0.97,0.03294693499992718
char_svm,sklearn,5,5,test,typo,ro,200,0.975,0.03294693499992718
char_svm,sklearn,10,10,test,clean,de,200,0.99,0.06113296100011212
char_svm,sklearn,10,10,test,clean,en,200,0.995,0.06113296100011212
char_svm,sklearn,10,10,test,clean,es,200,0.995,0.06113296100011212
char_svm,sklearn,10,10,test,clean,fr,200,0.995,0.06113296100011212
char_svm,sklearn,10,10,test,clean,ro,200,0.995,0.06113296100011212
char_svm,sklearn,10,10,test,no_diacritics,de,200,0.985,0.06527197499963222
char_svm,sklearn,10,10,test,no_diacritics,en,200,0.995,0.06527197499963222
char_svm,sklearn,10,10,test,no_diacritics,es,200,0.995,0.06527197499963222
char_svm,sklearn,10,10,test,no_diacritics,fr,200,0.995,0.06527197499963222
char_svm,sklearn,10,10,test,no_diacritics,ro,200,0.995,0.06527197499963222
char_svm,sklearn,10,10,test,typo,de,200,0.985,0.0639154979999148
char_svm,sklearn,10,10,test,typo,en,200,0.995,0.0639154979999148
char_svm,sklearn,10,10,test,typo,es,200,0.995,0.0639154979999148
char_svm,sklearn,10,10,test,typo,fr,200,0.995,0.0639154979999148
char_svm,sklearn,10,10,test,typo,ro,200,0.995,0.0639154979999148
char_svm,sklearn,3,3,val,clean,de,200,0.935,0.015263523000612622
char_svm,sklearn,3,3,val,clean,en,200,0.945,0.015263523000612622
char_svm,sklearn,3,3,val,clean,es,200,0.965,0.015263523000612622
char_svm,sklearn,3,3,val,clean,fr,200,0.945,0.015263523000612622
char_svm,sklearn,3,3,val,clean,ro,200,0.945,0.015263523000612622
char_svm,sklearn,3,3,val,no_diacritics,de,200,0.935,0.01735066099990945
char_svm,sklearn,3,3,val,no_diacritics,en,200,0.94,0.01735066099990945
char_svm,sklearn,3,3,val,no_diacritics,es,200,0.945,0.01735066099990945
char_svm,sklearn,3,3,val,no_diacritics,fr,200,0.91,0.01735066099990945
char_svm,sklearn,3,3,val,no_diacritics,ro,200,0.89,0.01735066099990945
char_svm,sklearn,3,3,val,typo,de,200,0.905,0.016171573999599786
char_svm,sklearn,3,3,val,typo,en,200,0.92,0.016171573999599786
char_svm,sklearn,3,3,val,typo,es,200,0.9,0.016171573999599786
char_svm,sklearn,3,3,val,typo,fr,200,0.895,0.016171573999599786
char_svm,sklearn,3,3,val,typo,ro,200,0.91,0.016171573999599786
char_svm,sklearn,5,5,val,clean,de,200,0.99,0.027135376999467553
char_svm,sklearn,5,5,val,clean,en,200,0.995,0.027135376999467553
char_svm,sklearn,5,5,val,clean,es,200,0.99,0.027135376999467553
char_svm,sklearn,5,5,val,clean,fr,200,0.975,0.027135376999467553
char_svm,sklearn,5,5,val,clean,ro,200,0.965,0.027135376999467553
char_svm,sklearn,5,5,val,no_diacritics,de,200,0.99,0.026395230000161973
char_svm,sklearn,5,5,val,no_diacritics,en,200,0.99,0.026395230000161973
char_svm,sklearn,5,5,val,no_diacritics,es,200,0.98,0.026395230000161973
char_svm,sklearn,5,5,val,no_diacritics,fr,200,0.955,0.026395230000161973
char_svm,sklearn,5,5,val,no_diacritics,ro,200,0.955,0.026395230000161973
char_svm,sklearn,5,5,val,typo,de,200,0.97,0.02728878200014151
char_svm,sklearn,5,5,val,typo,en,200,0.995,0.02728878200014151
char_svm,sklearn,5,5,val,typo,es,200,0.99,0.02728878200014151
char_svm,sklearn,5,5,val,typo,fr,200,0.945,0.02728878200014151
char_svm,sklearn,5,5,val,typo,ro,200,0.95,0.02728878200014151
char_svm,sklearn,10,10,val,clean,de,200,0.995,0.06597585300005449
char_svm,sklearn,10,10,val,clean,en,200,1.0,0.06597585300005449
char_svm,sklearn,10,10,val,clean,es,200,1.0,0.06597585300005449
char_svm,sklearn,10,10,val,clean,fr,200,1.0,0.06597585300005449
char_svm,sklearn,10,10,val,clean,ro,200,0.995,0.06597585300005449
char_svm,sklearn,10,10,val,no_diacritics,de,200,0.995,0.06063045199971384
char_svm,sklearn,10,10,val,no_diacritics,en,200,1.0,0.06063045199971384
char_svm,sklearn,10,10,val,no_diacritics,es,200,1.0,0.06063045199971384
char_svm,sklearn,10,10,val,no_diacritics,fr,200,1.0,0.06063045199971384
